date,time,age,confirmed,deceased
3/2/2020,0,0s,32,0
3/2/2020,0,10s,169,0
3/2/2020,0,20s,1235,0
3/2/2020,0,30s,506,1
3/2/2020,0,40s,633,1
3/2/2020,0,50s,834,5
3/2/2020,0,60s,530,6
3/2/2020,0,70s,192,6
3/2/2020,0,80s,81,3
3/3/2020,0,0s,34,0
3/3/2020,0,10s,204,0
3/3/2020,0,20s,1417,0
3/3/2020,0,30s,578,1
3/3/2020,0,40s,713,1
3/3/2020,0,50s,952,5
3/3/2020,0,60s,597,7
3/3/2020,0,70s,224,9
3/3/2020,0,80s,93,5
3/4/2020,0,0s,34,0
3/4/2020,0,10s,233,0
3/4/2020,0,20s,1575,0
3/4/2020,0,30s,631,1
3/4/2020,0,40s,790,1
3/4/2020,0,50s,1051,5
3/4/2020,0,60s,646,7
3/4/2020,0,70s,260,12
3/4/2020,0,80s,108,6
3/5/2020,0,0s,38,0
3/5/2020,0,10s,257,0
3/5/2020,0,20s,1727,0
3/5/2020,0,30s,659,1
3/5/2020,0,40s,847,1
3/5/2020,0,50s,1127,5
3/5/2020,0,60s,699,8
3/5/2020,0,70s,288,13
3/5/2020,0,80s,124,7
3/6/2020,0,0s,45,0
3/6/2020,0,10s,292,0
3/6/2020,0,20s,1877,0
3/6/2020,0,30s,693,1
3/6/2020,0,40s,889,1
3/6/2020,0,50s,1217,5
3/6/2020,0,60s,763,11
3/6/2020,0,70s,340,14
3/6/2020,0,80s,168,10
3/7/2020,0,0s,52,0
3/7/2020,0,10s,327,0
3/7/2020,0,20s,2038,0
3/7/2020,0,30s,727,1
3/7/2020,0,40s,941,1
3/7/2020,0,50s,1287,5
3/7/2020,0,60s,830,11
3/7/2020,0,70s,384,14
3/7/2020,0,80s,191,12
3/8/2020,0,0s,58,0
3/8/2020,0,10s,360,0
3/8/2020,0,20s,2133,0
3/8/2020,0,30s,760,1
3/8/2020,0,40s,975,1
3/8/2020,0,50s,1349,5
3/8/2020,0,60s,878,11
3/8/2020,0,70s,409,18
3/8/2020,0,80s,212,14
3/9/2020,0,0s,66,0
3/9/2020,0,10s,381,0
3/9/2020,0,20s,2190,0
3/9/2020,0,30s,779,1
3/9/2020,0,40s,1005,1
3/9/2020,0,50s,1391,5
3/9/2020,0,60s,916,12
3/9/2020,0,70s,438,18
3/9/2020,0,80s,216,14
3/10/2020,0,0s,67,0
3/10/2020,0,10s,393,0
3/10/2020,0,20s,2213,0
3/10/2020,0,30s,789,1
3/10/2020,0,40s,1030,1
3/10/2020,0,50s,1416,5
3/10/2020,0,60s,929,13
3/10/2020,0,70s,454,19
3/10/2020,0,80s,222,15
3/11/2020,0,0s,75,0
3/11/2020,0,10s,405,0
3/11/2020,0,20s,2238,0
3/11/2020,0,30s,804,1
3/11/2020,0,40s,1082,1
3/11/2020,0,50s,1472,6
3/11/2020,0,60s,960,14
3/11/2020,0,70s,483,21
3/11/2020,0,80s,236,17
3/12/2020,0,0s,76,0
3/12/2020,0,10s,412,0
3/12/2020,0,20s,2261,0
3/12/2020,0,30s,812,1
3/12/2020,0,40s,1101,1
3/12/2020,0,50s,1495,6
3/12/2020,0,60s,972,14
3/12/2020,0,70s,497,24
3/12/2020,0,80s,243,20
3/13/2020,0,0s,77,0
3/13/2020,0,10s,421,0
3/13/2020,0,20s,2274,0
3/13/2020,0,30s,823,1
3/13/2020,0,40s,1117,1
3/13/2020,0,50s,1523,6
3/13/2020,0,60s,985,14
3/13/2020,0,70s,506,24
3/13/2020,0,80s,253,21
3/14/2020,0,0s,81,0
3/14/2020,0,10s,424,0
3/14/2020,0,20s,2287,0
3/14/2020,0,30s,833,1
3/14/2020,0,40s,1133,1
3/14/2020,0,50s,1551,6
3/14/2020,0,60s,999,14
3/14/2020,0,70s,515,27
3/14/2020,0,80s,263,23
3/15/2020,0,0s,83,0
3/15/2020,0,10s,427,0
3/15/2020,0,20s,2301,0
3/15/2020,0,30s,842,1
3/15/2020,0,40s,1141,1
3/15/2020,0,50s,1568,6
3/15/2020,0,60s,1012,14
3/15/2020,0,70s,525,28
3/15/2020,0,80s,263,25
3/16/2020,0,0s,85,0
3/16/2020,0,10s,432,0
3/16/2020,0,20s,2313,0
3/16/2020,0,30s,849,1
3/16/2020,0,40s,1147,1
3/16/2020,0,50s,1585,6
3/16/2020,0,60s,1024,14
3/16/2020,0,70s,531,28
3/16/2020,0,80s,270,25
3/17/2020,0,0s,86,0
3/17/2020,0,10s,436,0
3/17/2020,0,20s,2330,0
3/17/2020,0,30s,856,1
3/17/2020,0,40s,1164,1
3/17/2020,0,50s,1602,6
3/17/2020,0,60s,1033,16
3/17/2020,0,70s,539,29
3/17/2020,0,80s,274,28
3/18/2020,0,0s,87,0
3/18/2020,0,10s,438,0
3/18/2020,0,20s,2342,0
3/18/2020,0,30s,873,1
3/18/2020,0,40s,1171,1
3/18/2020,0,50s,1615,6
3/18/2020,0,60s,1059,16
3/18/2020,0,70s,542,29
3/18/2020,0,80s,286,31
3/19/2020,0,0s,91,0
3/19/2020,0,10s,444,0
3/19/2020,0,20s,2358,0
3/19/2020,0,30s,886,1
3/19/2020,0,40s,1181,1
3/19/2020,0,50s,1642,7
3/19/2020,0,60s,1080,17
3/19/2020,0,70s,562,34
3/19/2020,0,80s,321,31
3/20/2020,0,0s,97,0
3/20/2020,0,10s,452,0
3/20/2020,0,20s,2365,0
