date,time,sex,confirmed,deceased
3/2/2020,0,male,1591,13
3/2/2020,0,female,2621,9
3/3/2020,0,male,1810,16
3/3/2020,0,female,3002,12
3/4/2020,0,male,1996,20
3/4/2020,0,female,3332,12
3/5/2020,0,male,2149,21
3/5/2020,0,female,3617,14
3/6/2020,0,male,2345,25
3/6/2020,0,female,3939,17
3/7/2020,0,male,2522,26
3/7/2020,0,female,4245,18
3/8/2020,0,male,2694,29
3/8/2020,0,female,4440,20
3/9/2020,0,male,2799,31
3/9/2020,0,female,4583,20
3/10/2020,0,male,2852,33
3/10/2020,0,female,4661,21
3/11/2020,0,male,2947,35
3/11/2020,0,female,4808,25
3/12/2020,0,male,2994,38
3/12/2020,0,female,4875,28
3/13/2020,0,male,3043,39
3/13/2020,0,female,4936,28
3/14/2020,0,male,3100,41
3/14/2020,0,female,4986,31
3/15/2020,0,male,3136,41
3/15/2020,0,female,5026,34
3/16/2020,0,male,3169,41
3/16/2020,0,female,5067,34
3/17/2020,0,male,3200,44
3/17/2020,0,female,5120,37
3/18/2020,0,male,3240,45
3/18/2020,0,female,5173,39
3/19/2020,0,male,3296,49
3/19/2020,0,female,5269,42
3/20/2020,0,male,3330,51
3/20/2020,0,female,5322,43
3/21/2020,0,male,3387,54
3/21/2020,0,female,5412,48
3/22/2020,0,male,3430,55
3/22/2020,0,female,5467,49
3/23/2020,0,male,3457,58
3/23/2020,0,female,5504,53
3/24/2020,0,male,3497,60
3/24/2020,0,female,5540,60
3/25/2020,0,male,3550,64
3/25/2020,0,female,5587,62
3/26/2020,0,male,3598,68
3/26/2020,0,female,5643,63
3/27/2020,0,male,3638,75
3/27/2020,0,female,5694,64
3/28/2020,0,male,3736,77
3/28/2020,0,female,5742,67
3/29/2020,0,male,3799,78
3/29/2020,0,female,5784,74
3/30/2020,0,male,3834,80
3/30/2020,0,female,5827,78
3/31/2020,0,male,3905,82
3/31/2020,0,female,5881,80
4/1/2020,0,male,3946,84
4/1/2020,0,female,5941,81
4/2/2020,0,male,3979,87
4/2/2020,0,female,5997,82
4/3/2020,0,male,4013,92
4/3/2020,0,female,6049,82
4/4/2020,0,male,4052,94
4/4/2020,0,female,6104,83
4/5/2020,0,male,4098,97
4/5/2020,0,female,6139,86
4/6/2020,0,male,4118,98
4/6/2020,0,female,6166,88
4/7/2020,0,male,4138,101
4/7/2020,0,female,6193,91
4/8/2020,0,male,4163,106
4/8/2020,0,female,6221,94
4/9/2020,0,male,4185,107
4/9/2020,0,female,6238,97
4/10/2020,0,male,4200,109
4/10/2020,0,female,6250,99
4/11/2020,0,male,4215,111
4/11/2020,0,female,6265,100
4/12/2020,0,male,4229,113
4/12/2020,0,female,6283,101
4/13/2020,0,male,4243,115
4/13/2020,0,female,6294,102
4/14/2020,0,male,4256,116
